2026-07-25 16:38:11.130 | INFO     | __main__:check_output_f3_3:7 - 三分厂硫化产量检查
2026-07-25 16:38:27.668 | INFO     | __main__:check_output_f3_3:7 - 三分厂硫化产量检查
2026-07-25 16:38:29.030 | INFO     | __main__:check_output_f3_3:65 - 200
2026-07-25 16:38:59.915 | INFO     | __main__:check_output_f3_3:7 - 三分厂硫化产量检查
2026-07-25 16:39:00.884 | INFO     | __main__:check_output_f3_3:65 - 200
2026-07-25 16:44:05.229 | INFO     | __main__:check_output_f3_3:7 - 三分厂硫化产量检查
2026-07-25 16:44:06.612 | INFO     | __main__:check_output_f3_3:65 - 200
2026-07-25 16:44:47.215 | INFO     | __main__:check_output_f3_2:21 - 三分厂成型二段产量检查
2026-07-25 16:44:47.439 | INFO     | __main__:check_output_f3_2:32 - 200
2026-07-25 16:46:00.746 | INFO     | __main__:check_output_f3_3:7 - 三分厂硫化产量检查
2026-07-25 16:46:04.887 | INFO     | __main__:check_output_f3_3:29 - 200
2026-07-25 16:49:08.189 | INFO     | __main__:check_output_f3_3:7 - 三分厂硫化产量检查
2026-07-25 16:49:09.332 | INFO     | __main__:check_output_f3_3:35 - 200
2026-07-25 16:49:33.267 | INFO     | __main__:check_output_f3_2:21 - 三分厂成型二段产量检查
2026-07-25 16:49:33.736 | INFO     | __main__:check_output_f3_2:32 - 200
2026-07-25 16:50:46.035 | INFO     | __main__:check_output_f3_2:21 - 三分厂成型二段产量检查
2026-07-25 16:50:46.255 | INFO     | __main__:check_output_f3_2:32 - 200
2026-07-25 16:51:05.632 | INFO     | __main__:check_output_f3_3:45 - 三分厂硫化产量检查
2026-07-25 16:51:07.001 | INFO     | __main__:check_output_f3_3:64 - 200
2026-07-25 16:55:26.466 | INFO     | __main__:check_output_f3_3:45 - 三分厂硫化产量检查
2026-07-25 16:55:29.468 | INFO     | __main__:check_output_f3_3:76 - 200
2026-07-26 22:27:16.782 | INFO     | jobs.check_mes:check_output_f3_1:10 - 三分厂胎胚库存检查
2026-07-26 22:27:17.728 | INFO     | jobs.check_mes:check_output_f3_1:13 - 200
2026-07-26 22:27:17.729 | INFO     | jobs.check_mes:check_output_f3_2:21 - 三分厂成型二段产量检查
2026-07-26 22:27:17.994 | INFO     | jobs.check_mes:check_output_f3_2:32 - 200
2026-07-26 22:27:17.995 | INFO     | jobs.check_mes:check_output_f3_3:45 - 三分厂硫化产量检查
2026-07-26 22:27:19.125 | INFO     | jobs.check_mes:check_output_f3_3:64 - 200
2026-07-26 22:27:19.140 | INFO     | jobs.sent_ding:sent_ding:19 - 发送钉钉消息
2026-07-26 22:27:19.537 | INFO     | jobs.sent_ding:sent_ding:29 - 钉钉消息响应：{'errcode': 0, 'errmsg': 'ok'}
2026-07-26 22:29:53.484 | INFO     | jobs.check_mes:check_output_f3_1:10 - 三分厂胎胚库存检查
2026-07-26 22:29:54.910 | INFO     | jobs.check_mes:check_output_f3_1:13 - 200
2026-07-26 22:29:54.912 | INFO     | jobs.check_mes:check_output_f3_2:21 - 三分厂成型二段产量检查
2026-07-26 22:29:55.305 | INFO     | jobs.check_mes:check_output_f3_2:32 - 200
2026-07-26 22:29:55.306 | INFO     | jobs.check_mes:check_output_f3_3:45 - 三分厂硫化产量检查
2026-07-26 22:29:57.065 | INFO     | jobs.check_mes:check_output_f3_3:64 - 200
2026-07-26 22:29:57.079 | INFO     | jobs.sent_ding:sent_ding:19 - 发送钉钉消息
2026-07-26 22:29:57.523 | INFO     | jobs.sent_ding:sent_ding:29 - 钉钉消息响应：{'errcode': 0, 'errmsg': 'ok'}
2026-07-26 22:31:36.243 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:31:39.245 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:31:41.157 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:31:42.028 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:34:44.476 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:34:46.694 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:34:48.531 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:34:49.136 | INFO     | __main__:check_mold_f:87 - 200
2026-07-26 22:39:22.198 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:39:24.467 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:39:26.099 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:39:26.689 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:39:26.692 | INFO     | jobs.sent_ding:sent_ding:19 - 发送钉钉消息
2026-07-26 22:39:27.221 | INFO     | jobs.sent_ding:sent_ding:29 - 钉钉消息响应：{'errcode': 310000, 'errmsg': '错误描述:关键词不匹配;解决方案:请联系群管理员查看此机器人的关键词，并在发送的信息中包含此关键词;'}
2026-07-26 22:42:47.311 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:42:50.112 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:42:51.907 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:42:52.838 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:42:52.840 | INFO     | jobs.sent_ding:sent_ding:19 - 发送钉钉消息
2026-07-26 22:42:53.197 | INFO     | jobs.sent_ding:sent_ding:29 - 钉钉消息响应：{'errcode': 0, 'errmsg': 'ok'}
2026-07-26 22:44:20.048 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:44:22.598 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:44:24.128 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:44:24.786 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:44:24.787 | INFO     | jobs.sent_ding:sent_ding:19 - 发送钉钉消息
2026-07-26 22:44:25.120 | INFO     | jobs.sent_ding:sent_ding:29 - 钉钉消息响应：{'errcode': 0, 'errmsg': 'ok'}
2026-07-26 22:45:32.129 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:45:34.695 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:45:36.272 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:45:36.835 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:45:36.835 | INFO     | jobs.sent_ding:sent_ding:19 - 发送钉钉消息
2026-07-26 22:45:37.684 | INFO     | jobs.sent_ding:sent_ding:29 - 钉钉消息响应：{'errcode': 0, 'errmsg': 'ok'}
2026-07-26 22:53:03.918 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:53:15.598 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:53:17.634 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:53:18.598 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:54:08.957 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:54:11.857 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:54:13.733 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:54:14.555 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:55:00.435 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:55:03.500 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:55:05.506 | INFO     | jobs.check_mes:check_mold_f:87 - 200
2026-07-26 22:55:06.406 | INFO     | jobs.check_mes:check_mold_f:87 - 200
